transaction_id,amount,transaction_time,merchant_category,device_type,is_international,distance_from_home,credit_score,is_fraud
111,580.21,9,Electronics,Web,1,217.75,628,1
112,323.28,18,Groceries,Web,0,288.62,465,0
113,1859.47,16,Clothing,Web,0,369.03,758,1
114,1616.43,4,Electronics,POS Terminal,0,403.1,399,1
115,1267.17,3,Groceries,Web,0,421.87,472,0
116,1743.05,9,Clothing,Web,0,126.99,461,1
117,1607.54,23,Electronics,POS Terminal,0,15.56,562,0
118,373.95,16,Electronics,Mobile,0,369.65,573,0
119,1785.23,9,Groceries,POS Terminal,0,53.17,302,1
120,1079.15,16,Online Services,Mobile,0,157.46,327,0
121,1615.07,19,Electronics,POS Terminal,0,1.91,625,0
122,1792.29,23,Electronics,POS Terminal,0,340.83,448,1
123,636.69,4,Clothing,Web,0,83.57,839,0
124,220.99,1,Fuel,Mobile,0,327.64,787,0
125,456.64,5,Groceries,Web,0,495.87,737,0
126,854.79,20,Groceries,Mobile,0,36.34,364,0
127,1636.21,1,Online Services,POS Terminal,0,38.54,655,0
128,1721.6,12,Online Services,POS Terminal,0,170.19,832,0
129,14.9,10,Groceries,Mobile,0,433.19,551,0
130,1021.98,10,Online Services,Web,0,107.76,534,0
131,835.4,15,Clothing,Web,1,180.19,526,0
132,444.99,10,Groceries,Web,0,34.25,824,0
133,240.61,18,Online Services,Web,1,381.58,612,1
134,675.89,14,Groceries,POS Terminal,0,204.15,348,0
135,1885.88,22,Fuel,POS Terminal,0,379.62,417,1
136,647.08,22,Electronics,POS Terminal,0,451.8,353,1
137,1038.06,15,Groceries,POS Terminal,0,116.38,343,0
138,1406.33,10,Electronics,POS Terminal,0,403.7,352,0
139,727.9,21,Online Services,Web,1,29.55,824,1
140,1943.59,15,Electronics,Web,0,449.42,401,1
141,1924.93,7,Groceries,Web,0,325.38,697,1
142,504.31,3,Fuel,Web,1,437.11,437,1
143,995.0,7,Online Services,POS Terminal,0,0.09,686,0
144,602.46,3,Groceries,POS Terminal,0,84.54,410,0
145,570.4,23,Online Services,POS Terminal,0,194.88,316,0
146,74.74,2,Clothing,Mobile,0,189.75,481,0
147,1219.52,2,Electronics,Web,0,113.37,835,0
148,1005.86,17,Clothing,Web,0,190.81,840,0
149,103.91,18,Groceries,POS Terminal,0,64.42,470,0
150,558.01,18,Fuel,Web,0,206.38,708,0
151,1816.62,20,Online Services,Web,0,401.18,677,1
152,479.88,4,Electronics,POS Terminal,0,239.54,487,0
153,290.64,17,Online Services,Mobile,1,9.0,529,0
154,979.42,9,Groceries,Mobile,1,210.72,418,1
155,1971.32,21,Online Services,Mobile,0,13.59,455,1
156,484.87,20,Electronics,POS Terminal,1,483.12,764,1
157,1344.6,5,Groceries,Web,0,63.73,403,0
158,1523.48,0,Online Services,POS Terminal,0,353.84,801,1
159,476.04,4,Fuel,POS Terminal,0,486.39,474,1
160,1456.7,8,Groceries,Web,0,413.02,720,0
161,736.2,11,Groceries,Mobile,0,349.66,433,0
162,1264.98,13,Fuel,Mobile,0,419.73,690,0
163,1267.43,1,Clothing,POS Terminal,0,490.9,800,0
164,1072.01,16,Electronics,Mobile,0,310.67,332,0
165,181.49,13,Clothing,POS Terminal,0,279.59,354,0
166,1670.77,12,Online Services,POS Terminal,0,314.12,818,1
167,642.24,8,Fuel,Web,0,266.34,311,0
168,373.85,14,Clothing,Web,0,317.54,827,0
169,82.51,21,Groceries,Web,0,224.92,672,0
170,1182.19,14,Online Services,POS Terminal,0,109.22,783,0
171,1355.45,23,Online Services,Web,0,60.12,527,0
172,34.16,10,Clothing,Mobile,0,34.17,606,0
173,1024.67,15,Clothing,Mobile,0,131.66,756,0
174,453.77,16,Fuel,POS Terminal,0,23.06,459,0
175,1290.7,3,Electronics,POS Terminal,0,283.59,630,0
176,349.56,0,Clothing,Web,0,141.91,524,0
177,1382.18,7,Clothing,POS Terminal,0,412.27,803,0
178,774.08,16,Groceries,POS Terminal,0,37.12,755,0
179,1873.52,2,Online Services,Mobile,0,113.18,344,1
180,275.9,19,Electronics,Mobile,0,365.12,513,0
181,682.79,14,Groceries,Web,0,299.4,358,0
182,227.83,14,Fuel,POS Terminal,0,32.25,494,0
183,1849.46,23,Fuel,POS Terminal,0,438.62,788,0
184,1754.8,21,Clothing,Mobile,0,438.63,456,1
185,516.63,13,Clothing,POS Terminal,0,165.2,525,0
186,1320.31,22,Fuel,Mobile,0,170.2,711,0
187,1634.63,13,Clothing,Web,0,494.51,504,1
188,1110.85,23,Electronics,Mobile,0,313.09,378,1
189,1059.77,1,Clothing,POS Terminal,0,265.66,423,0
190,484.46,12,Online Services,Web,0,419.08,770,0
191,187.11,13,Clothing,Mobile,0,142.65,517,0
192,1794.53,23,Groceries,Mobile,0,214.59,815,0
193,1800.94,18,Electronics,Web,1,133.89,403,1
194,1266.57,6,Groceries,Web,0,394.58,692,0
195,678.72,2,Groceries,Mobile,0,286.67,733,0
196,699.07,14,Online Services,POS Terminal,0,329.41,630,0
197,1452.19,22,Electronics,Mobile,0,126.15,442,0
198,1794.32,13,Electronics,Web,0,110.11,839,0
199,1774.29,10,Electronics,Mobile,0,244.19,577,0
200,1559.97,14,Electronics,Web,0,368.78,532,1
201,1284.42,12,Electronics,Web,0,262.62,828,0
202,169.2,17,Online Services,POS Terminal,0,16.32,389,0
203,324.1,5,Clothing,Web,0,434.28,791,0
204,1797.21,2,Groceries,Web,0,32.34,498,1
205,1213.25,18,Electronics,POS Terminal,0,477.91,661,0
206,19.38,14,Clothing,Web,0,12.57,740,0
207,203.84,22,Clothing,POS Terminal,0,347.23,325,0
208,1327.34,4,Groceries,POS Terminal,0,41.1,324,0
209,11.12,9,Online Services,Web,0,455.34,693,0
210,322.46,6,Fuel,Web,0,232.22,806,0
211,1097.92,16,Fuel,Mobile,0,68.76,600,0
212,1384.1,6,Clothing,POS Terminal,0,170.41,638,0
213,1304.27,21,Groceries,Mobile,0,82.41,566,0
214,449.31,11,Fuel,Web,0,85.29,760,0
215,1424.65,16,Clothing,Mobile,1,474.05,755,1
216,475.26,12,Online Services,POS Terminal,0,222.62,659,0
217,651.47,19,Fuel,Mobile,0,394.4,367,0
218,1493.24,3,Clothing,POS Terminal,0,319.8,711,0
219,1299.62,9,Clothing,Web,0,338.21,790,0
220,1698.6,2,Electronics,Web,1,65.85,348,1
221,1315.57,8,Online Services,POS Terminal,0,117.09,401,0
222,1137.05,12,Electronics,Web,1,393.38,515,1
223,188.26,17,Groceries,Web,0,485.38,737,0
224,736.06,14,Electronics,Web,0,131.34,458,0
225,531.14,3,Electronics,Web,0,135.78,788,0
226,488.74,14,Fuel,POS Terminal,1,236.45,541,0
227,1946.05,21,Clothing,Mobile,0,491.92,304,1
228,786.8,1,Online Services,Mobile,0,134.48,660,0
229,1784.2,14,Electronics,Web,0,203.49,758,0
230,1262.65,7,Online Services,Mobile,1,445.74,547,1
231,1589.83,7,Electronics,Mobile,0,1.46,721,0
232,1005.77,16,Groceries,Web,0,19.88,314,0
233,1154.23,11,Electronics,Web,0,302.04,421,1
234,985.54,18,Fuel,Mobile,0,453.69,576,0
235,391.29,9,Clothing,POS Terminal,0,119.43,752,0
236,1445.18,8,Groceries,Web,0,234.82,689,0
237,562.26,4,Electronics,POS Terminal,0,225.23,593,0
238,49.61,5,Online Services,Mobile,1,236.49,745,0
239,1291.3,19,Groceries,Web,0,311.26,509,0
240,355.04,1,Groceries,POS Terminal,1,234.87,601,1
241,1880.98,23,Electronics,Web,0,223.73,522,0
242,1907.9,12,Groceries,Mobile,1,237.14,302,1
243,1829.81,5,Online Services,POS Terminal,0,295.43,817,0
244,740.95,4,Groceries,Mobile,0,268.5,392,0
245,31.9,0,Online Services,Mobile,0,427.07,819,0
246,1856.71,20,Electronics,Web,0,24.75,727,0
247,856.94,21,Clothing,POS Terminal,0,416.66,792,0
248,1933.34,20,Groceries,Mobile,0,421.96,534,1
249,1927.28,5,Clothing,Mobile,0,142.45,460,1
250,1706.17,5,Online Services,POS Terminal,0,231.43,630,0
251,589.6,22,Groceries,Mobile,0,219.27,632,0
252,770.81,15,Fuel,Mobile,0,109.25,349,0
253,1702.42,3,Clothing,POS Terminal,0,198.4,822,0
254,634.53,10,Groceries,POS Terminal,1,22.19,791,0
255,339.82,23,Clothing,POS Terminal,1,138.91,571,1
256,1114.05,22,Groceries,POS Terminal,1,408.34,551,1
257,1872.37,8,Electronics,Web,0,142.28,389,1
258,1392.36,22,Clothing,POS Terminal,0,409.1,745,0
259,1140.55,2,Fuel,Web,0,265.8,631,0
260,195.26,18,Fuel,Web,0,439.93,438,1
261,1230.4,7,Online Services,Web,0,287.39,656,0
262,1980.12,4,Groceries,Mobile,0,14.83,573,0
263,281.03,3,Clothing,Web,0,337.71,318,1
264,1037.14,23,Online Services,Web,0,22.43,610,0
265,1754.87,5,Clothing,Mobile,0,225.3,453,1
266,1481.8,1,Groceries,Mobile,1,464.71,689,1
267,1394.33,19,Fuel,Mobile,0,82.6,559,0
268,1405.27,10,Electronics,POS Terminal,0,194.94,424,0
269,719.62,3,Fuel,Mobile,1,364.93,653,1
270,587.89,14,Online Services,Mobile,0,441.13,572,0
271,1618.91,5,Electronics,Web,0,335.47,544,0
272,1620.42,21,Online Services,Mobile,0,129.09,749,0
273,1734.28,16,Groceries,POS Terminal,0,337.3,546,1
274,1826.57,23,Electronics,Mobile,0,148.36,819,0
275,1023.17,5,Online Services,POS Terminal,1,359.21,440,1
276,1003.53,18,Groceries,Mobile,0,477.02,661,0
277,1596.79,1,Fuel,Mobile,1,360.7,307,1
278,1300.28,14,Groceries,Mobile,0,431.44,777,0
279,1404.23,10,Clothing,Mobile,0,1.05,651,0
280,1591.79,7,Groceries,POS Terminal,0,358.79,794,1
281,1780.12,18,Groceries,POS Terminal,0,414.79,726,1
282,676.65,12,Clothing,Web,0,20.28,338,0
283,751.79,11,Online Services,POS Terminal,1,435.8,486,1
284,188.87,4,Online Services,Mobile,0,128.35,392,0
285,1156.98,5,Groceries,Web,0,332.65,385,0
286,72.85,21,Clothing,Web,0,400.18,343,1
287,931.73,3,Clothing,Web,0,331.33,436,1
288,1085.75,18,Fuel,Mobile,0,46.14,720,0
289,573.8,19,Online Services,POS Terminal,0,298.16,373,0
290,1182.08,0,Electronics,Mobile,0,274.79,847,0
291,61.97,19,Online Services,Web,0,450.16,811,0
292,75.66,16,Online Services,Mobile,0,202.12,455,0
293,1645.38,11,Fuel,Mobile,0,160.54,554,0
294,721.02,14,Electronics,POS Terminal,0,374.93,470,0
295,254.99,0,Fuel,POS Terminal,0,206.34,469,0
296,1044.96,13,Electronics,Web,1,323.05,621,1
297,1540.22,5,Groceries,Mobile,0,323.23,755,1
298,432.43,4,Electronics,Mobile,0,444.02,454,0
299,1246.16,10,Fuel,POS Terminal,0,299.35,648,0
300,171.61,3,Online Services,Mobile,1,251.08,750,1
301,104.31,12,Electronics,Mobile,0,69.44,472,0
302,1063.18,10,Electronics,Mobile,0,57.87,309,0
303,1081.73,2,Clothing,POS Terminal,1,77.16,564,1
304,1275.22,0,Online Services,Web,0,85.92,737,0
305,1452.46,5,Groceries,Web,0,318.94,546,0
306,1951.73,17,Fuel,Mobile,0,370.49,845,1
307,1033.08,23,Groceries,Web,0,265.0,798,0
308,646.59,9,Online Services,POS Terminal,1,414.51,428,1
309,1590.58,4,Electronics,POS Terminal,0,495.63,626,0
310,542.39,22,Electronics,Web,0,410.01,703,0
311,878.5,9,Online Services,Web,0,347.44,658,0
312,157.83,11,Electronics,Mobile,0,266.25,316,0
313,51.68,1,Electronics,Web,0,224.43,573,0
314,1925.33,12,Electronics,Mobile,0,42.2,415,1
315,1672.12,7,Fuel,Mobile,0,199.68,390,1
316,1392.25,1,Fuel,POS Terminal,0,455.07,381,1
317,818.5,19,Clothing,POS Terminal,0,404.01,623,0
318,347.42,0,Groceries,POS Terminal,0,108.03,413,0
319,313.72,4,Online Services,POS Terminal,0,233.3,357,0
320,501.24,8,Online Services,Web,0,408.36,453,1
321,1098.9,16,Online Services,POS Terminal,1,33.69,703,1
322,1429.48,8,Clothing,Web,0,193.7,565,0
323,1320.73,10,Fuel,POS Terminal,0,425.92,614,0
324,560.59,14,Clothing,Web,0,201.95,340,0
325,1909.78,23,Online Services,Mobile,0,38.81,404,1
326,1476.06,5,Groceries,Web,0,271.27,492,0
327,1109.15,22,Electronics,Web,0,430.87,700,0
328,1223.83,2,Fuel,POS Terminal,0,295.14,577,0
329,839.78,16,Fuel,Web,0,113.14,653,0
330,496.21,4,Clothing,Mobile,0,192.12,555,0
331,712.59,11,Fuel,Mobile,0,225.06,398,0
332,1515.93,17,Online Services,POS Terminal,0,289.63,581,0
333,29.77,13,Online Services,Mobile,1,379.68,702,1
334,233.03,20,Clothing,Web,0,49.44,408,0
335,92.96,23,Online Services,Mobile,0,444.83,498,0
336,82.42,10,Groceries,POS Terminal,0,6.15,602,0
337,1711.07,8,Clothing,Web,0,185.03,626,0
338,1407.61,1,Groceries,POS Terminal,0,13.71,453,0
339,948.87,11,Electronics,Web,1,196.49,704,1
340,196.57,2,Groceries,Mobile,0,262.91,761,0
341,983.74,2,Electronics,POS Terminal,0,255.84,431,0
342,947.47,0,Electronics,POS Terminal,1,82.81,383,1
343,347.23,7,Groceries,Web,0,322.87,698,0
344,868.27,21,Clothing,POS Terminal,0,22.39,408,0
345,797.61,7,Online Services,Web,0,380.95,520,0
346,1232.08,10,Online Services,Web,0,473.32,667,0
347,1270.55,8,Electronics,Web,0,169.88,446,0
348,91.56,4,Electronics,Web,0,258.62,411,0
349,749.85,13,Clothing,Mobile,0,189.46,793,0
350,1252.09,2,Fuel,Web,0,3.36,804,0
351,1006.77,20,Groceries,POS Terminal,0,192.94,774,0
352,1713.12,4,Electronics,Mobile,0,395.86,570,1
353,1317.73,4,Online Services,POS Terminal,0,297.99,720,0
354,326.71,18,Clothing,Mobile,0,50.63,666,0
355,142.07,13,Groceries,Web,0,423.57,579,0
356,1285.2,3,Clothing,Mobile,0,265.54,582,0
357,54.0,12,Groceries,Mobile,0,420.86,339,1
358,1171.97,9,Groceries,POS Terminal,0,290.11,488,0
359,1880.52,17,Electronics,POS Terminal,0,279.84,463,1
360,1151.37,7,Clothing,Web,0,52.63,835,0
361,776.95,7,Clothing,Mobile,0,83.68,835,0
362,1286.93,6,Online Services,Mobile,0,486.01,303,1
363,917.05,7,Online Services,Mobile,0,114.24,589,0
364,1091.69,13,Electronics,Web,0,488.73,732,0
365,1882.99,18,Electronics,Web,0,265.96,770,0
366,772.82,5,Fuel,Web,0,67.89,480,0
367,1922.42,0,Online Services,Web,0,49.65,547,0
368,1810.8,22,Groceries,Web,0,104.43,578,0
369,392.39,14,Clothing,POS Terminal,0,462.82,553,0
370,139.65,0,Electronics,Mobile,0,207.08,480,0
371,202.46,16,Clothing,Mobile,0,197.72,808,0
372,37.43,0,Clothing,Mobile,0,156.6,625,0
373,189.79,14,Fuel,Mobile,0,73.53,656,0
374,1366.33,22,Online Services,Mobile,0,243.93,690,0
375,143.31,1,Electronics,Mobile,0,65.02,384,0
376,638.63,13,Clothing,Mobile,0,417.74,616,0
377,1689.91,20,Electronics,Mobile,1,185.2,511,1
378,47.52,7,Groceries,POS Terminal,0,187.4,814,0
379,1629.12,7,Fuel,Mobile,0,237.0,683,0
380,564.43,18,Groceries,POS Terminal,0,222.06,641,0
381,237.21,6,Electronics,Web,0,497.43,337,0
382,1393.78,18,Electronics,Mobile,0,272.69,810,0
383,1258.26,5,Online Services,Web,0,44.1,719,0
384,1755.07,5,Clothing,Web,0,303.44,468,1
385,1470.41,2,Clothing,Web,0,75.79,642,0
386,1607.16,6,Groceries,POS Terminal,0,15.47,605,0
387,564.79,18,Fuel,Web,0,485.37,841,0
388,355.7,7,Clothing,Web,0,386.77,836,0
389,1501.48,9,Online Services,Web,0,490.05,411,1
390,1613.86,19,Groceries,Mobile,0,238.94,710,0
391,1981.02,14,Groceries,Mobile,0,266.13,505,0
392,825.82,14,Online Services,POS Terminal,0,84.17,484,0
393,744.66,0,Fuel,POS Terminal,1,123.45,681,0
394,1553.05,19,Online Services,Mobile,0,419.27,795,1
395,682.27,6,Fuel,POS Terminal,0,178.09,678,0
396,1861.58,3,Online Services,Mobile,0,413.41,346,1
397,1716.97,5,Online Services,Web,0,354.51,827,1
398,858.56,0,Electronics,Web,0,88.59,803,0
399,1501.99,4,Groceries,POS Terminal,0,253.72,321,1
400,1509.33,22,Online Services,Mobile,0,338.69,512,0
401,207.14,0,Online Services,Mobile,0,117.52,609,0
402,1805.2,3,Clothing,POS Terminal,0,415.34,571,1
403,1011.0,21,Groceries,Mobile,0,272.41,501,0
404,1653.09,1,Clothing,Web,0,82.62,331,1
405,640.78,9,Groceries,POS Terminal,0,291.49,742,0
406,1791.15,4,Clothing,POS Terminal,0,499.86,461,1
407,779.01,9,Online Services,Mobile,0,75.26,553,0
408,22.66,0,Online Services,POS Terminal,0,408.38,820,0
409,1810.86,21,Electronics,Mobile,0,103.65,779,0
410,183.48,5,Clothing,Mobile,0,391.19,309,1
411,639.31,12,Fuel,Mobile,0,367.29,804,0
412,1900.17,14,Electronics,Mobile,1,150.24,735,1
413,1901.26,3,Clothing,Mobile,0,162.91,410,1
414,1147.3,12,Clothing,POS Terminal,0,396.26,452,1
415,1264.04,23,Electronics,Web,1,230.72,401,1
416,897.44,19,Online Services,Web,0,365.41,490,1
417,587.13,23,Clothing,POS Terminal,0,73.99,380,0
418,658.0,14,Online Services,POS Terminal,1,426.28,788,1
419,1345.36,7,Electronics,Web,0,355.44,387,1
420,1505.0,4,Online Services,Web,0,453.47,493,1
421,1583.37,14,Groceries,Web,0,66.19,403,1
422,1579.45,3,Fuel,Web,0,296.51,395,1
423,183.32,11,Clothing,Web,0,299.56,722,0
424,989.35,12,Fuel,Mobile,1,176.73,497,1
425,116.06,1,Online Services,POS Terminal,0,229.23,300,0
426,1099.51,18,Clothing,Mobile,0,18.99,706,0
427,883.62,18,Online Services,Web,1,372.93,677,1
428,1775.52,3,Groceries,Web,0,274.66,466,1
429,702.48,3,Electronics,Web,0,28.87,808,0
430,235.02,10,Clothing,Mobile,0,340.38,612,0
431,286.84,4,Groceries,Mobile,0,233.39,717,0
432,1523.26,19,Groceries,Web,0,17.23,776,0
433,1236.82,10,Clothing,Mobile,1,484.8,372,1
434,203.14,9,Online Services,Mobile,0,474.56,440,1
435,169.13,7,Groceries,Web,0,256.45,561,0
436,1402.24,5,Fuel,Mobile,0,46.84,639,0
437,146.45,5,Groceries,POS Terminal,1,377.31,607,1
438,1643.9,7,Online Services,POS Terminal,1,245.97,544,1
439,1412.78,22,Online Services,POS Terminal,0,151.22,814,0
440,163.62,14,Fuel,POS Terminal,0,245.71,636,0
441,170.59,13,Groceries,Web,0,261.22,375,0
442,1973.29,10,Online Services,Web,0,281.36,474,1
443,749.17,11,Clothing,Web,0,220.61,408,0
444,741.91,12,Electronics,POS Terminal,0,302.88,482,1
445,1625.79,7,Electronics,POS Terminal,1,459.37,491,1
446,1894.55,17,Electronics,Mobile,0,181.13,364,1
447,1972.02,0,Groceries,Mobile,0,362.86,773,1
448,1507.0,14,Fuel,POS Terminal,0,447.23,399,1
449,753.14,7,Online Services,POS Terminal,0,227.99,843,0
450,167.92,10,Clothing,POS Terminal,0,221.73,427,0
451,1554.52,11,Clothing,POS Terminal,0,301.06,751,0
452,1117.25,11,Groceries,Mobile,0,295.7,668,0
453,849.02,3,Electronics,POS Terminal,0,403.29,342,1
454,1812.8,15,Groceries,Mobile,1,238.24,718,1
455,223.28,3,Fuel,POS Terminal,0,498.06,787,0
456,985.76,4,Fuel,POS Terminal,0,29.74,377,0
457,23.7,23,Online Services,POS Terminal,0,1.58,569,0
458,937.85,4,Online Services,Mobile,0,320.1,614,0
459,113.55,7,Fuel,Mobile,0,149.22,467,0
460,238.52,9,Fuel,Web,1,120.19,638,0
461,235.93,16,Fuel,POS Terminal,0,155.95,492,0
462,1298.77,8,Groceries,Web,0,128.02,752,0
463,1492.34,21,Fuel,Web,0,15.4,582,0
464,1167.15,18,Clothing,Mobile,0,485.77,635,0
465,1924.38,13,Electronics,Mobile,0,110.37,689,0
466,750.37,7,Fuel,Web,0,367.01,824,0
467,572.14,8,Electronics,POS Terminal,0,381.3,539,0
468,1737.33,21,Groceries,Mobile,0,464.63,782,0
469,447.97,10,Electronics,POS Terminal,0,15.27,757,0
470,1926.48,22,Groceries,POS Terminal,0,436.02,388,1
471,25.3,0,Clothing,Web,0,263.61,394,0
472,1939.79,13,Groceries,Web,1,316.27,751,1
473,87.28,4,Groceries,Web,0,322.24,727,0
474,1782.4,20,Online Services,Web,0,409.9,450,1
475,1055.87,13,Fuel,Mobile,0,166.7,813,0
476,1985.94,3,Fuel,Mobile,0,366.53,675,0
477,148.52,21,Clothing,Web,0,264.29,321,0
478,1108.15,22,Clothing,Mobile,1,396.7,612,1
479,1938.64,0,Fuel,Web,0,495.27,818,0
480,1046.67,21,Online Services,POS Terminal,0,100.33,505,0
481,1259.17,22,Fuel,POS Terminal,0,497.32,674,0
482,1391.8,18,Online Services,POS Terminal,0,44.91,750,0
483,909.63,7,Clothing,Web,0,1.16,478,0
484,1255.49,14,Electronics,POS Terminal,1,22.08,509,0
485,1169.04,20,Clothing,Mobile,1,170.89,799,1
486,1802.41,14,Clothing,POS Terminal,0,316.45,763,1
487,91.85,8,Groceries,POS Terminal,0,34.51,423,0
488,562.65,20,Groceries,POS Terminal,0,2.83,412,0
